province;red;green;blue;x;x;old IDs;;;
1;0;36;128;Ostergotland;x;2;1;;
2;128;38;192;Smaland;x;3;2;;
3;0;40;255;Bergslagen;x;4;3;;
4;128;42;0;Varmland;x;5;4;;
5;129;46;128;Skaraborg;x;7;5;;
6;1;48;192;Dalaskogen;x;8;6;;
7;129;50;255;Halsingland;x;9;7;;
8;1;52;0;Jamtland;x;10;8;;
9;129;54;64;Vasterbotten;x;11;9;;
10;130;66;128;Akershus;x;17;10;;
11;2;68;192;Lappland;x;18;11;;
12;130;70;255;Osterbotten;x;19;12;;
13;2;72;0;Trondelag;x;20;13;;
14;131;74;64;Halogaland;x;21;14;;
15;3;76;128;Oplandene;x;22;15;;
16;131;78;192;Bergenshus;x;23;16;;
17;3;80;255;Rogaland;x;24;17;;
18;3;84;64;Halland;x;26;18;;
19;132;90;255;Tavastland;x;29;19;;
20;132;94;64;Savolax;x;31;20;;
21;4;96;128;Suojarvi;x;32;21;;
22;4;100;255;Izhora;x;34;22;;
23;6;116;128;Warmia;x;42;23;;
24;134;118;192;Carthaus;x;43;24;;
25;135;130;255;Dramburg;x;49;25;;
26;136;146;128;Hildesheim;x;57;26;;
27;8;148;192;Wolfenbuttel;x;58;27;;
28;8;152;0;Bautzen;x;60;28;;
29;136;154;64;Dresden;x;61;29;;
30;8;156;128;Leipzig;x;62;30;;
31;137;158;192;Erfurt;x;63;31;;
32;9;32;255;Landshut;x;64;32;;
33;137;34;0;Munchen;x;65;33;;
34;9;36;64;Bamberg;x;66;34;;
35;137;38;128;Nurnberg;x;67;35;;
36;9;40;192;Memmingen;x;68;36;;
37;137;42;255;Konstanz;x;69;37;;
38;10;44;0;Stuttgart;x;70;38;;
39;138;46;64;Ansbach;x;71;39;;
40;10;48;128;Breisgau;x;72;40;;
41;138;50;192;Tirol;x;73;41;;
42;10;52;255;Baden;x;74;42;;
43;138;54;0;Strassburg;x;75;43;;
44;10;56;64;Salzburg;x;76;44;;
45;139;58;128;Heidelberg;x;77;45;;
46;11;60;192;Mainz;x;78;46;;
47;139;62;255;Wurzburg;x;79;47;;
48;11;64;0;Trier;x;80;48;;
49;139;66;64;Oberhessen;x;81;49;;
50;11;68;128;Westfalen;x;82;50;;
51;139;70;192;Nassau;x;83;51;;
52;12;72;255;Dortmund;x;84;52;;
53;12;80;192;Artois;x;88;53;;
54;140;82;255;Picardie;x;89;54;;
55;141;86;64;Hainaut;x;91;55;;
56;141;90;192;Seragne;x;93;56;;
57;13;92;255;Luxemburg;x;94;57;;
58;142;106;64;Campomorone;x;101;58;;
59;14;108;128;Grassa;x;102;59;;
60;85;80;32;Torino;x;103;60;;
61;14;112;255;Milan;x;104;61;;
62;143;114;0;Collecchio;x;105;62;;
63;15;116;64;Vignola;x;106;63;;
64;143;118;128;Brescia;x;107;64;;
65;15;120;192;Rovereto;x;108;65;;
66;15;124;0;Trent;x;110;66;;
67;143;126;64;Friuli;x;111;67;;
68;16;132;255;Bologna;x;4730;68;;114
69;42;158;224;Kuyavian Straits;x;#;69;Pisa;115
70;16;136;64;Firenze;x;116;70;;
71;144;138;128;Siena;x;117;71;;
72;16;140;192;Viterbo;x;118;72;;
73;145;142;255;Marche;x;119;73;;
74;17;144;0;Abbruzzi;x;120;74;;
